name,video,start,end,speaker,orth,translation
05May_2011_Thursday_tagesschau-30,05May_2011_Thursday_tagesschau-30/1/*.png,-1,-1,Signer08,WIND SCHWACH MAESSIG WEHEN,der wind weht meist schwach mitunter auch mal mäßig
10March_2011_Thursday_heute-49,10March_2011_Thursday_heute-49/1/*.png,-1,-1,Signer01,GUT ABEND LIEB ZUSCHAUER poss-EUCH,guten abend liebe zuschauer
10March_2011_Thursday_heute-60,10March_2011_Thursday_heute-60/1/*.png,-1,-1,Signer01,SCHOEN ABEND GUT poss-EUCH,ihnen einen schönen abend und machen sie es gut
14August_2009_Friday_tagesschau-66,14August_2009_Friday_tagesschau-66/1/*.png,-1,-1,Signer05,MAL NEBEL,hier und da bilden sich einzelne nebelfelder
14August_2009_Friday_tagesschau-69,14August_2009_Friday_tagesschau-69/1/*.png,-1,-1,Signer05,SONST REGION SONNE,sonst scheint verbreitet die sonne
26January_2010_Tuesday_heute-90,26January_2010_Tuesday_heute-90/1/*.png,-1,-1,Signer03,LIEB ZUSCHAUER BEGRUESSEN GUT ABEND,liebe zuschauer guten abend
08May_2010_Saturday_tagesschau-180,08May_2010_Saturday_tagesschau-180/1/*.png,-1,-1,Signer08,ORT NEBEL,örtlich bildet sich nebel
24November_2011_Thursday_heute-217,24November_2011_Thursday_heute-217/1/*.png,-1,-1,Signer05,ABEND LIEB ZUSCHAUER poss-EUCH,guten abend liebe zuschauer
24November_2011_Thursday_heute-228,24November_2011_Thursday_heute-228/1/*.png,-1,-1,Signer05,SCHOEN ABEND poss-EUCH MACHEN GUT poss-EUCH,ihnen einen schönen abend und machen sie es gut
12July_2010_Monday_heute-243,12July_2010_Monday_heute-243/1/*.png,-1,-1,Signer01,GUT ABEND LIEB ZUSCHAUER BEGRUESSEN,guten abend liebe zuschauer
12July_2010_Monday_heute-259,12July_2010_Monday_heute-259/1/*.png,-1,-1,Signer01,SCHOEN ABEND MACHEN GUT MITTEILEN,ihnen noch einen schönen abend und machen sie es gut
22November_2010_Monday_heute-275,22November_2010_Monday_heute-275/1/*.png,-1,-1,Signer01,LIEB ZUSCHAUER poss-EUCH GUT ABEND,liebe zuschauer guten abend
22November_2010_Monday_heute-286,22November_2010_Monday_heute-286/1/*.png,-1,-1,Signer01,SCHOEN ABEND MACHEN GUT TSCHUESS,jetzt wünsche ich ihnen noch einen schönen abend
12May_2010_Wednesday_tagesschau-320,12May_2010_Wednesday_tagesschau-320/1/*.png,-1,-1,Signer01,WIND WEHEN SCHWACH MAESSIG WEHEN,der wind weht morgen schwach bis mäßig und kommt aus nord bis nordwest
28October_2010_Thursday_heute-325,28October_2010_Thursday_heute-325/1/*.png,-1,-1,Signer01,ABEND poss-EUCH,guten abend liebe zuschauer
28October_2010_Thursday_heute-339,28October_2010_Thursday_heute-339/1/*.png,-1,-1,Signer01,SCHOEN ABEND GUT poss-EUCH,ihnen einen schönen abend und machen sie es gut
17February_2011_Thursday_heute-382,17February_2011_Thursday_heute-382/1/*.png,-1,-1,Signer07,LIEB ZUSCHAUER GUT ABEND,liebe zuschauer guten abend
17February_2011_Thursday_heute-394,17February_2011_Thursday_heute-394/1/*.png,-1,-1,Signer07,SCHOEN ABEND NOCH poss-EUCH,und jetzt wünsche ich ihnen noch einen schönen abend
01October_2009_Thursday_tagesschau-415,01October_2009_Thursday_tagesschau-415/1/*.png,-1,-1,Signer03,WIND SCHWACH MAESSIG KOMMEN,der wind weht schwach bis mäßig im nordosten in böen auch starker wind aus west bis nordwest
01October_2012_Monday_heute-436,01October_2012_Monday_heute-436/1/*.png,-1,-1,Signer04,LIEB ZUSCHAUER GUT ABEND,liebe zuschauer guten abend
07February_2010_Sunday_tagesschau-497,07February_2010_Sunday_tagesschau-497/1/*.png,-1,-1,Signer04,WIND WEHEN,der wind weht schwach bis mäßig aus ost bis nordost
20November_2011_Sunday_tagesschau-543,20November_2011_Sunday_tagesschau-543/1/*.png,-1,-1,Signer04,WIND SCHWACH BERG MAESSIG,der wind weht morgen nur schwach im bergland auch mal mäßig
03February_2011_Thursday_heute-600,03February_2011_Thursday_heute-600/1/*.png,-1,-1,Signer08,GUT ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
03February_2011_Thursday_heute-619,03February_2011_Thursday_heute-619/1/*.png,-1,-1,Signer08,SCHOEN ABEND MACHEN GUT poss-EUCH,ihnen einen schönen abend und machen sie es gut
18October_2010_Monday_heute-620,18October_2010_Monday_heute-620/1/*.png,-1,-1,Signer04,LIEB ZUSCHAUER ABEND,liebe zuschauer guten abend
14December_2010_Tuesday_heute-643,14December_2010_Tuesday_heute-643/1/*.png,-1,-1,Signer05,LIEB ZUSCHAUER poss-EUCH GUT ABEND,liebe zuschauer guten abend
09November_2010_Tuesday_tagesschau-749,09November_2010_Tuesday_tagesschau-749/1/*.png,-1,-1,Signer01,WIND SCHWACH MAESSIG,der wind weht schwach gelegentlich auch mäßig
29May_2011_Sunday_tagesschau-761,29May_2011_Sunday_tagesschau-761/1/*.png,-1,-1,Signer01,BISSCHEN NEBEL,hier und da bildet sich nebel
20January_2010_Wednesday_heute-797,20January_2010_Wednesday_heute-797/1/*.png,-1,-1,Signer01,GUT ABEND LIEB ZUSCHAUER BEGRUESSEN,guten abend liebe zuschauer
20January_2010_Wednesday_heute-816,20January_2010_Wednesday_heute-816/1/*.png,-1,-1,Signer01,SCHOEN ABEND MACHEN GUT WUENSCHEN,ihnen noch einen schönen abend und machen sie es gut
03February_2011_Thursday_tagesschau-929,03February_2011_Thursday_tagesschau-929/1/*.png,-1,-1,Signer08,REGEN KOENNEN,dort bringen die tiefs auch zum teil länger andauernden regen
03February_2011_Thursday_tagesschau-940,03February_2011_Thursday_tagesschau-940/1/*.png,-1,-1,Signer08,IN-KOMMEND MEHR MILD,es wird noch milder
01June_2011_Wednesday_heute-944,01June_2011_Wednesday_heute-944/1/*.png,-1,-1,Signer01,LIEB ZUSCHAUER GUT ABEND,liebe zuschauer guten abend
01June_2011_Wednesday_heute-955,01June_2011_Wednesday_heute-955/1/*.png,-1,-1,Signer01,SCHOEN ABEND TSCHUESS,ich wünsche ihnen noch einen schönen abend
04April_2011_Monday_heute-956,04April_2011_Monday_heute-956/1/*.png,-1,-1,Signer01,GUT ABEND LIEB ZUSCHAUER poss-EUCH,guten abend liebe zuschauer
04April_2011_Monday_heute-972,04April_2011_Monday_heute-972/1/*.png,-1,-1,Signer01,SCHOEN ABEND TSCHUESS,ihnen einen schönen abend und machen sie es gut
19August_2010_Thursday_tagesschau-997,19August_2010_Thursday_tagesschau-997/1/*.png,-1,-1,Signer03,SUED MEHR SONNE,richtung südosten ist es noch sonnig
27April_2010_Tuesday_heute-1025,27April_2010_Tuesday_heute-1025/1/*.png,-1,-1,Signer01,ABEND LIEB ZUSCHAUER BEGRUESSEN,guten abend liebe zuschauer
27April_2010_Tuesday_heute-1041,27April_2010_Tuesday_heute-1041/1/*.png,-1,-1,Signer01,SCHOEN ABEND TSCHUESS,ihnen einen schönen abend und machen sie es gut
06May_2010_Thursday_heute-1042,06May_2010_Thursday_heute-1042/1/*.png,-1,-1,Signer04,ABEND LIEB ZUSCHAUER,liebe zuschauer
06May_2010_Thursday_heute-1056,06May_2010_Thursday_heute-1056/1/*.png,-1,-1,Signer04,WUENSCHEN SCHOEN ABEND GUT,ich wünsche ihnen einen schönen abend und machen sie es gut
05October_2011_Wednesday_heute-1082,05October_2011_Wednesday_heute-1082/1/*.png,-1,-1,Signer01,SCHOEN ABEND TSCHUESS,ihnen noch einen schönen abend
06September_2010_Monday_tagesschau-1152,06September_2010_Monday_tagesschau-1152/1/*.png,-1,-1,Signer04,NORD WIND,an der see weiterhin windig
05October_2010_Tuesday_heute-1208,05October_2010_Tuesday_heute-1208/1/*.png,-1,-1,Signer01,ABEND LIEB ZUSCHAUER poss-EUCH,guten abend liebe zuschauer
05October_2010_Tuesday_heute-1223,05October_2010_Tuesday_heute-1223/1/*.png,-1,-1,Signer01,SCHOEN ABEND MACHEN GUT poss-EUCH,ihnen einen schönen abend und machen sie es gut
27May_2010_Thursday_heute-1224,27May_2010_Thursday_heute-1224/1/*.png,-1,-1,Signer05,LIEB ZUSCHAUER BEGRUESSEN GUT ABEND,liebe zuschauer guten abend
12July_2011_Tuesday_heute-1272,12July_2011_Tuesday_heute-1272/1/*.png,-1,-1,Signer01,LIEB ZUSCHAUER poss-EUCH GUT ABEND,liebe zuschauer guten abend
02October_2010_Saturday_tagesschau-1313,02October_2010_Saturday_tagesschau-1313/1/*.png,-1,-1,Signer04,ABER BLEIBEN TROCKEN,dabei bleibt es trocken
18April_2011_Monday_tagesschau-1319,18April_2011_Monday_tagesschau-1319/1/*.png,-1,-1,Signer01,WIND WEHEN,der wind kommt aus südost er weht schwach richtung nordosten mitunter auch mäßig
22August_2010_Sunday_tagesschau-1349,22August_2010_Sunday_tagesschau-1349/1/*.png,-1,-1,Signer05,SONST REGION FREUNDLICH,sonst ist es zum teil freundlich
